Ticker,Start Date,End Date,Pietroski F-Score,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,Quarterly Return
LAMR,2016-02-25,2016-05-05,5.00000,1.18960,2.29437,0.56230,1.1896869244935542
LAMR,2016-05-05,2016-08-09,6.00000,1.50803,2.81447,0.62605,1.0427244582043345
LAMR,2016-08-09,2016-11-03,5.00000,1.35349,2.76301,0.61154,0.9242874109263658
LAMR,2016-11-03,2017-02-24,5.00000,1.37111,2.69450,0.60987,1.1823000321233537
LAMR,2017-02-24,2017-05-04,4.00000,1.13316,2.64542,0.60253,0.9373726395870127
LAMR,2017-05-04,2017-08-08,3.00000,1.42347,2.72449,0.61787,0.9733333333333333
LAMR,2017-08-08,2017-11-06,7.00000,1.47883,2.68412,0.60613,1.0658129839189994
LAMR,2018-05-02,2018-08-08,5.00000,1.59219,2.95552,0.63870,1.1025948702564872
LAMR,2018-08-08,2018-11-08,7.00000,1.47921,2.83781,0.62255,1.0571350836620865
LAMR,2018-11-08,2019-02-25,5.00000,1.42938,2.76005,0.61724,1.0011581521039763
LAMR,2019-02-25,2019-05-02,6.00000,0.79921,3.01547,0.63563,1.0453727506426735
LAMR,2019-05-02,2019-08-07,6.00000,0.52218,4.22230,0.52231,0.9348333948112628
LAMR,2019-08-07,2019-11-05,5.00000,0.49987,4.09013,0.51257,1.0850979876364593
LAMR,2019-11-05,2020-02-20,5.00000,0.51043,4.07932,0.51482,1.1288484848484848
LAMR,2020-02-20,2020-05-07,4.00000,0.46101,4.03357,0.50161,0.7022441748094063
LANC,2012-08-29,2012-11-06,6.00000,5.39058,0.20977,0.00000,1.0126079210634507
LANC,2012-11-06,2013-02-07,6.00000,4.66318,0.23431,0.00000,0.9782108539721207
LANC,2013-02-07,2013-05-08,6.00000,3.74779,0.26868,0.00000,1.113862755949087
LANC,2013-05-08,2013-08-29,5.00000,4.04790,0.25051,0.00000,0.9222456837659917
LANC,2013-08-29,2013-11-07,5.00000,4.22481,0.23691,0.00000,1.107070707070707
LANC,2013-11-07,2014-02-10,5.00000,4.15711,0.24493,0.00000,1.0326034063260339
LANC,2014-02-10,2014-05-12,6.00000,4.77724,0.22190,0.00000,1.055018850141376
LANC,2014-05-12,2014-08-28,4.00000,5.14945,0.21553,0.00000,0.9771077610273591
LANC,2014-08-28,2014-11-07,5.00000,5.31751,0.20816,0.00000,1.0538285714285713
LANC,2014-11-07,2015-02-06,5.00000,4.90260,0.21992,0.00000,0.9908903589632362
LANC,2015-02-06,2015-05-07,4.00000,5.52619,0.20170,0.00000,0.9856626901608843
LANC,2015-05-07,2015-08-28,5.00000,4.27396,0.21402,0.00000,1.0584055074394847
LANC,2015-08-28,2015-11-03,6.00000,4.42380,0.20870,0.00000,1.1756189676877886
LANC,2015-11-03,2016-02-05,6.00000,3.95866,0.26026,0.00000,0.8774763519543102
LANC,2016-02-05,2016-05-03,5.00000,3.10235,0.25133,0.00000,1.2079731516322587
LANC,2016-05-03,2016-08-24,5.00000,3.48421,0.23449,0.00000,1.1224953695908404
LANC,2016-08-24,2016-10-31,6.00000,3.66871,0.23585,0.00000,0.9747993699842495
LANC,2016-10-31,2017-02-07,5.00000,3.34412,0.26167,0.00000,1.0102331307224746
LANC,2017-02-07,2017-05-02,4.00000,3.96534,0.23589,0.00000,0.9463823305407464
LANC,2017-05-02,2017-08-24,4.00000,3.19924,0.27331,0.00000,0.9407693545791084
LANC,2017-08-24,2017-11-08,5.00000,3.93023,0.24381,0.00000,1.0542343883661247
LANC,2017-11-08,2018-01-30,5.00000,3.46273,0.26859,0.00000,1.0196364816617982
LANC,2018-01-30,2018-05-01,4.00000,4.03316,0.23102,0.00000,0.9988858825401878
LANC,2018-05-01,2018-08-27,5.00000,3.85136,0.24287,0.00000,1.2319152326322498
LANC,2018-08-27,2018-11-01,5.00000,4.04062,0.23335,0.00000,1.1092931513936495
LANC,2018-11-01,2019-02-06,6.00000,3.81829,0.24653,0.00000,0.9109776715443362
LANC,2019-02-06,2019-04-30,3.00000,3.32720,0.24219,0.00000,0.9496992192499681
LANC,2019-04-30,2019-08-27,3.00000,3.37606,0.23955,0.00000,1.01044474393531
LANC,2019-08-27,2019-11-04,3.00000,3.07895,0.24561,0.00000,1.0706902300766923
LANC,2019-11-04,2020-02-04,3.00000,2.69930,0.28369,0.00000,0.9734039240112115
LANC,2020-02-04,2020-05-05,5.00000,2.85306,0.27298,0.00000,0.9136805733299206
LAYN,2014-09-09,2014-12-10,1.00000,1.54788,1.20355,0.16676,0.6267361111111112
LAYN,2014-12-10,2016-04-13,3.00000,1.49377,1.25119,0.17310,0.9362880886426593
LAYN,2015-06-09,2015-09-09,2.00000,1.59767,1.55765,0.23963,0.8072289156626505
LAYN,2015-09-09,2015-12-10,3.00000,1.53311,1.79628,0.23559,0.7462686567164178
LAYN,2015-12-10,2016-04-13,6.00000,1.55320,1.87035,0.22221,1.3519999999999999
LAYN,2016-04-13,2016-06-07,3.00000,1.62053,1.22433,0.16586,1.1494082840236686
LAYN,2016-04-13,2016-06-07,3.00000,1.58339,1.98329,0.23749,1.1494082840236686
LAYN,2016-10-31,2017-04-10,5.00000,1.87625,2.59685,0.31381,1.0551558752997603
LAYN,2017-04-10,2017-06-08,6.00000,1.84689,2.79669,0.32535,0.8193181818181817
LAYN,2017-06-08,2017-09-11,4.00000,1.82305,2.93701,0.33080,1.532593619972261
LAYN,2017-09-11,2017-12-05,6.00000,1.88116,2.99876,0.33863,1.1674208144796379
LAYN,2017-12-05,2018-04-10,4.00000,1.88291,3.13172,0.34103,1.151937984496124
LAYN,2018-04-10,2018-06-05,5.00000,0.97282,5.43214,0.44859,1.0329744279946165
LAZ,2012-08-01,2012-11-01,6.00000,1.55055,2.60337,0.36776,1.0961968680089484
